fixture	mode	count	score_median	score_p10	missing_mean	duplicates_mean	overlap_mean	dependency_mean	start_mean	sleep_days_mean	sleep_slots_mean	daily_max_excess_mean	latency_p50_ms	latency_p95_ms
small	full	10	251.000	251.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.972	3.329
small	partial	10	251.000	251.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.517	0.673
small	range	10	251.000	251.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.652	2.969
stress_30d	full	10	104891.450	97994.273	0.000	0.000	0.000	0.000	526.500	0.000	0.000	0.000	17827.571	20029.200
stress_30d	partial	10	102904.242	98086.451	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	19703.802	21744.852
stress_30d	range	10	101089.751	100577.757	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2690.790	2837.371
stress_30d_dense	full	10	91525.819	89421.507	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	18391.526	20345.691
stress_30d_dense	partial	10	92548.632	90494.969	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	19421.531	19893.943
stress_30d_dense	range	10	87203.121	87034.680	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	687.351	763.605
stress_30d_mixed	full	10	106377.841	103217.475	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	19141.056	19532.389
stress_30d_mixed	partial	10	105134.417	101413.441	0.000	0.000	0.000	0.000	34.100	0.000	0.000	0.000	22394.992	23005.909
stress_30d_mixed	range	10	112532.028	112532.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	302.034	328.522
7d	full	10	-919.205	-919.205	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	19.138	20.493
7d	partial	10	-919.205	-919.205	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	30.367	32.325
7d	range	10	-919.205	-919.205	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.240	0.286
14d	full	10	-1844.372	-1844.372	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	73.327	81.985
14d	partial	10	-1844.372	-1844.372	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	129.529	143.750
14d	range	10	-1844.372	-1844.372	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.544	0.570
30d	full	10	-3873.816	-3873.816	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	357.572	400.893
30d	partial	10	-3873.816	-3873.816	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	614.913	646.984
30d	range	10	-3873.816	-3873.816	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.199	1.419
